source_i,source_j,absolute_tensor_correlation,mechanism_distance
SRC012,SRC041,0.22310421,0.77689579
SRC012,SRC042,0.22209145,0.77790855
SRC012,SRC043,0.89042530,0.10957470
SRC012,SRC044,0.51254736,0.48745264
SRC012,SRC045,0.11754119,0.88245881
SRC012,SRC046,0.62261552,0.37738448
SRC012,SRC047,0.41051271,0.58948729
SRC012,SRC048,0.52150901,0.47849099
SRC012,SRC049,0.58225154,0.41774846
SRC012,SRC050,0.13054681,0.86945319
SRC013,SRC014,0.89346888,0.10653112
SRC013,SRC015,0.41781803,0.58218197
SRC013,SRC016,0.97002293,0.02997707
SRC013,SRC017,0.90819957,0.09180043
SRC013,SRC018,0.56705151,0.43294849
SRC013,SRC019,0.79681595,0.20318405
SRC013,SRC020,0.60724710,0.39275290
SRC013,SRC021,0.37083595,0.62916405
SRC013,SRC022,0.17411222,0.82588778
SRC013,SRC023,0.33120567,0.66879433
SRC013,SRC024,0.52603753,0.47396247
SRC013,SRC025,0.31871983,0.68128017
SRC013,SRC026,0.07515812,0.92484188
SRC013,SRC027,0.03149340,0.96850660
SRC013,SRC028,0.40009487,0.59990513
SRC013,SRC029,0.29942974,0.70057026
SRC013,SRC030,0.64607572,0.35392428
SRC013,SRC031,0.30639267,0.69360733
SRC013,SRC032,0.11458030,0.88541970
SRC013,SRC033,0.87610741,0.12389259
SRC013,SRC034,0.00459420,0.99540580
SRC013,SRC035,0.67235645,0.32764355
SRC013,SRC036,0.25639904,0.74360096
SRC013,SRC037,0.19897327,0.80102673
SRC013,SRC038,0.43316499,0.56683501
SRC013,SRC039,0.04029539,0.95970461
SRC013,SRC040,0.06859496,0.93140504
SRC013,SRC041,0.47149358,0.52850642
SRC013,SRC042,0.34293595,0.65706405
SRC013,SRC043,0.13162230,0.86837770
SRC013,SRC044,0.17836283,0.82163717
SRC013,SRC045,0.54863655,0.45136345
SRC013,SRC046,0.39312104,0.60687896
SRC013,SRC047,0.04013055,0.95986945
SRC013,SRC048,0.49473309,0.50526691
SRC013,SRC049,0.42881475,0.57118525
SRC013,SRC050,0.17323335,0.82676665
SRC014,SRC015,0.45277738,0.54722262
SRC014,SRC016,0.83126117,0.16873883
SRC014,SRC017,0.99160388,0.00839612
SRC014,SRC018,0.36911446,0.63088554
SRC014,SRC019,0.49930551,0.50069449
SRC014,SRC020,0.89191796,0.10808204
SRC014,SRC021,0.50134313,0.49865687
SRC014,SRC022,0.13843158,0.86156842
SRC014,SRC023,0.14493689,0.85506311
SRC014,SRC024,0.83488808,0.16511192
SRC014,SRC025,0.03705369,0.96294631
SRC014,SRC026,0.48733292,0.51266708
SRC014,SRC027,0.04272606,0.95727394
SRC014,SRC028,0.16196323,0.83803677
SRC014,SRC029,0.26173926,0.73826074
SRC014,SRC030,0.34473434,0.65526566
SRC014,SRC031,0.10745406,0.89254594
SRC014,SRC032,0.20229109,0.79770891
SRC014,SRC033,0.90241262,0.09758738
SRC014,SRC034,0.08600199,0.91399801
SRC014,SRC035,0.64702130,0.35297870
SRC014,SRC036,0.19152358,0.80847642
SRC014,SRC037,0.10231074,0.89768926
SRC014,SRC038,0.31392251,0.68607749
SRC014,SRC039,0.34392452,0.65607548
SRC014,SRC040,0.27377314,0.72622686
SRC014,SRC041,0.40308653,0.59691347
SRC014,SRC042,0.31476479,0.68523521
SRC014,SRC043,0.06065203,0.93934797
SRC014,SRC044,0.12266488,0.87733512
SRC014,SRC045,0.41282633,0.58717367
SRC014,SRC046,0.56422416,0.43577584
SRC014,SRC047,0.10332705,0.89667295
SRC014,SRC048,0.53242067,0.46757933
SRC014,SRC049,0.52231704,0.47768296
SRC014,SRC050,0.07420825,0.92579175
SRC015,SRC016,0.48157636,0.51842364
SRC015,SRC017,0.42492111,0.57507889
SRC015,SRC018,0.19028644,0.80971356
SRC015,SRC019,0.35279785,0.64720215
SRC015,SRC020,0.26870703,0.73129297
SRC015,SRC021,0.85937335,0.14062665
SRC015,SRC022,0.66359707,0.33640293
SRC015,SRC023,0.12757805,0.87242195
SRC015,SRC024,0.31164482,0.68835518
SRC015,SRC025,0.22109574,0.77890426
SRC015,SRC026,0.08552773,0.91447227
SRC015,SRC027,0.16748557,0.83251443
SRC015,SRC028,0.27078498,0.72921502
SRC015,SRC029,0.50691804,0.49308196
SRC015,SRC030,0.31653996,0.68346004
SRC015,SRC031,0.00848377,0.99151623
SRC015,SRC032,0.70388309,0.29611691
SRC015,SRC033,0.49965280,0.50034720
SRC015,SRC034,0.43281462,0.56718538
SRC015,SRC035,0.14571502,0.85428498
SRC015,SRC036,0.89541256,0.10458744
SRC015,SRC037,0.75279922,0.24720078
SRC015,SRC038,0.32859516,0.67140484
SRC015,SRC039,0.61836448,0.38163552
SRC015,SRC040,0.54995077,0.45004923
SRC015,SRC041,0.16912181,0.83087819
SRC015,SRC042,0.31343135,0.68656865
SRC015,SRC043,0.80104694,0.19895306
SRC015,SRC044,0.51048628,0.48951372
SRC015,SRC045,0.02708140,0.97291860
SRC015,SRC046,0.79243871,0.20756129
SRC015,SRC047,0.47445192,0.52554808
SRC015,SRC048,0.61133111,0.38866889
